,avg_nighttime_flow,ks_flow_up,ks_flow_down,ks_flow_ml_up,ks_flow_ml_down,ks_flow_ml,ks_occupancy_up,ks_occupancy_down,ks_occupancy_ml_up,ks_occupancy_ml_down,ks_occupancy_ml,Type,y
717607,0.17714285714285713,,,,,8.051589481376065e-155,,,,,2.0333577013131045e-131,HV,0
763612,0.6514285714285715,,,,,3.839366516101493e-303,,,,,3.1120212106795473e-308,HV,0
763614,0.14857142857142858,,0.31463424712933236,,6.084267112904527e-205,4.837628839912316e-177,,0.012679922795744774,,4.195272191941567e-238,8.12234684518309e-232,HV,0
761093,0.24,0.31463424712933236,1.1110527009349502e-10,4.0256913065359385e-166,0.0,8.870684836193288e-189,0.012679922795744774,2.1461556767772003e-54,5.515418434858407e-197,0.0,1.0293256430093224e-202,HV,0
761098,0.26857142857142857,1.1110527009349502e-10,0.31463424712933236,7.168276733834086e-125,2.692817362209688e-153,2.728122725986626e-283,2.1461556767772003e-54,7.139820669604881e-53,5.8937473711908535e-86,2.7158885098131187e-81,5.6943867680028856e-247,HV,0
761102,0.3314285714285714,0.31463424712933236,1.5148257131394664e-172,2.794691086553394e-265,2.568188404469085e-112,1.131283123182539e-140,7.139820669604881e-53,4.554411427994178e-258,0.0,3.286027240562574e-192,8.12234684518309e-232,HV,0
761105,12.022857142857143,1.5148257131394664e-172,2.5737588753508712e-167,1.897684574477128e-12,9.34577371990571e-30,2.4912364291930286e-38,4.554411427994178e-258,3.541059389692926e-199,0.00010369421193652355,4.977442814094919e-07,9.889057136015747e-18,HV,1
761109,0.29714285714285715,2.5737588753508712e-167,0.9999996940350871,2.1213148079730844e-110,7.680214751084033e-123,1.5667157758703723e-124,3.541059389692926e-199,0.5648450360336869,7.396901802199213e-143,1.6867740683731777e-200,4.118213112325698e-196,HV,0
761112,0.2857142857142857,0.9999996940350871,0.9977860069951282,7.827365432388872e-122,8.051589481376065e-155,3.658354431064669e-121,0.5648450360336869,0.00018014695087145604,1.2399436832209025e-189,8.888359682064297e-233,1.6631869377813576e-193,HV,0
737490,0.2571428571428571,0.9977860069951282,1.2473956884458908e-176,1.667524010122442e-118,1.1235351898674197e-111,1.5461688008670499e-152,0.00018014695087145604,4.03119311600847e-170,2.784154885088396e-147,2.1083701238586594e-151,2.8164317644897307e-183,HV,0
717641,12.982857142857142,1.2473956884458908e-176,5.94736476463941e-173,3.849311340417363e-09,1.6000741271998089e-53,1.1888726193213766e-42,4.03119311600847e-170,4.016056083937704e-157,1.5233442538442916e-08,1.5428660590243628e-05,9.009575874930037e-05,HV,1
773155,0.3314285714285714,5.94736476463941e-173,0.09780003392346198,3.035991395101769e-107,2.1083701238586594e-151,1.6933774693642183e-119,4.016056083937704e-157,0.018785685435969146,5.993225246843844e-140,6.084267112904527e-205,5.0131159364833084e-148,HV,0
761115,0.33714285714285713,0.09780003392346198,0.01546448368806496,4.593770652651057e-105,1.5461688008670499e-152,3.7928602901542616e-138,0.018785685435969146,0.000455768487887168,3.212486236644781e-176,1.4233090398080829e-226,3.4400855237669935e-235,HV,0
761117,1.5942857142857143,0.01546448368806496,0.9999999648856741,5.29362156743503e-136,7.89539922632281e-121,2.784154885088396e-147,0.000455768487887168,0.2616666094112512,6.099037904212266e-201,2.2215256953012763e-230,4.627096618352431e-190,HV,0
773195,1.88,0.9999999648856741,1.918471856749168e-159,8.983834798878556e-149,1.4330963976140739e-84,1.702020725236255e-120,0.2616666094112512,1.3914347503958913e-134,2.172075170522107e-205,2.33108406880264e-136,5.734082542709667e-248,HV,0
761138,13.12,1.918471856749168e-159,1.1217707732984508e-153,6.23020776977284e-41,1.4992803118372339e-12,6.125730423686305e-56,1.3914347503958913e-134,5.4301893048234425e-102,1.7610277343415458e-88,8.139160741350768e-109,1.939452503135745e-06,HV,1
761149,0.9542857142857143,1.1217707732984508e-153,2.705893789659532e-08,5.057836373136709e-81,1.2809186515829132e-91,2.9132083169537332e-127,5.4301893048234425e-102,0.0049403054799701815,9.367553418292207e-105,4.9063825463302443e-141,1.556856591059318e-219,HV,0
761161,2.2742857142857145,2.705893789659532e-08,1.1110527009349502e-10,2.358276243627062e-87,3.2455025229339237e-80,1.2218677109961824e-58,0.0049403054799701815,6.0726766389324846e-12,6.516268015610177e-215,1.6038297843211838e-179,6.818469504841056e-126,HV,0
761174,0.6171428571428571,1.1110527009349502e-10,0.998829261894614,1.7901975310939247e-100,1.2976100273359742e-78,8.139160741350768e-109,6.0726766389324846e-12,0.9217103407647738,9.743677836941092e-199,1.1217707732984508e-153,1.7908348931232095e-246,HV,0
769703,0.6114285714285714,0.998829261894614,0.035970575611780964,2.568188404469085e-112,1.1235351898674197e-111,1.1146208675462313e-79,0.9217103407647738,0.1527986924772537,5.3986565585010925e-244,1.1880697092368765e-186,8.983834798878556e-149,HV,0
