counterid,taz_id,location,lat,lon
2,0607500104318,Marina Bike Path East of Baker St,37.805169,-122.446977
3,0607500104001,Holloway Ave West of Stratford WB,37.72131,-122.47421
6,0607500104309,2nd St North of Townsend SB,37.781168,-122.391229
7,0607500103892,Valencia St. Totem NB,37.764049,-122.421803
8,0607500103988,Bayshore Blvd. North of Boutwell,37.734529,-122.405684
9,0607500104178,Townsend East of 5th,37.775701,-122.39674
10,0607500104471,Market St. East of 2nd St. EB,37.7899,-122.400487
11,0607500104443,Oakdale Ave. North of Newhall St.,37.735908,-122.392648
16,0607500104197,Potrero north of 21st SB,37.75882,-122.40697
17,0607500104389,Ortega St West of 21st Ave SB and NB,37.752286,-122.479227
18,0607500104451,Market St East of Van Ness WB,37.775383,-122.419034
19,0607500104453,Valencia north of 14th SB,37.768673,-122.42225
21,0607500104308,11th St North of Folsom,37.77248,-122.41468
23,0607500104280,Broadway Tunnel west of Hyde St Overpass,37.79617,-122.41949
25,0607500104446,Duboce Bike Path East of Church,37.769482,-122.427539
26,0607500103989,Potrero south of 23rd NB,37.75383,-122.40626
27,0607500104308,Folsom between 8th and 9th Sts. EB,37.774189,-122.411078
28,0607500104073,Alemany Blvd north of Ocean Ave SB,37.724275,-122.437386
30,0607500103975,Indiana St North of 22nd St NB,37.758461,-122.391239
31,0607500104468,Illinois St between Cesar Chavez SB,37.749421,-122.386532
32,0607500104307,8th St. South of Folsom St.,37.774773,-122.409792
33,0607500104250,Polk St South of McAllister SB,37.780016,-122.418547
34,0607500104001,Holloway Ave West of Stratford EB,37.72122,-122.47398
36,0607500104042,San Jose Ave east of St Mary's WB,37.73539,-122.42818
37,0607500104060,Sloat Blvd west of 24th Ave EB,37.734418,-122.480466
39,0607500104455,Market St Totem S EB,37.776996,-122.416841
41,0607500104466,Panhandle Bike Path West of Masonic,37.772664,-122.446956
43,0607500104452,Market St West of Van Ness EB,37.77483,-122.419579
44,0607500104073,Alemany Blvd north of Ocean Ave NB,37.724161,-122.437268
46,0607500104455,Market St. Totem N WB,37.777274,-122.416639
47,0607500104453,Valencia St South of 14th NB,37.767806,-122.422167
48,0607500104466,JFK West of Conservatory Dr. West,37.771974,-122.462838
49,0607500104233,North Point East of Polk St WB,37.805392,-122.422831
50,0607500103982,Harrison St. North of 22nd St.,37.756582,-122.412268
51,0607500104468,Illinois St south of Cesar Chavez NB,37.749416,-122.386462
56,0607500104250,Grove west of Polk EB,37.778333,-122.419453
58,0607500103975,Indiana St North of 22nd St SB,37.75827,-122.391221
59,0607500104308,Howard West of 8th St. WB,37.775703,-122.412261
60,0607500104314,Polk St South of Sutter St,37.787398,-122.420044
62,0607500104309,2nd Street North of Townsend NB,37.781091,-122.391133
64,0607500104453,14th St East of Valencia EB,37.768148,-122.422065
66,0607500104471,Market St East of 2nd St WB,37.789694,-122.400909
67,0607500104060,Sloat Blvd west of 24th Ave WB,37.73458,-122.480474
69,0607500104233,North Point West of Polk St EB,37.805182,-122.424477
72,0607500104462,7th St North of Townsend St NB,37.772399,-122.402388
75,0607500103960,San Jose Av east of St Mary's EB,37.73522,-122.42798
