counterid,day_type,day_part,sfmta_count
60,weekday,late_pm,1270.8
60,weekday,early_am,441.75
60,weekday,peak_am,3524.5
60,weekday,mid,3073.8
60,weekday,peak_pm,7461.76428571429
60,weekend,late_pm,132.1
60,weekend,early_am,41.3333333333333
60,weekend,peak_am,333.5
60,weekend,mid,606
60,weekend,peak_pm,479.625
59,weekday,late_pm,916.075
59,weekday,early_am,615.666666666667
59,weekday,peak_am,6291.875
59,weekday,mid,2085
59,weekday,peak_pm,2832.125
59,weekend,late_pm,275.2
59,weekend,early_am,314.75
59,weekend,peak_am,435.625
59,weekend,mid,571.9
59,weekend,peak_pm,448.375
27,weekday,late_pm,358.506666666667
27,weekday,early_am,14.5
27,weekday,peak_am,344.8
27,weekday,mid,534.74
27,weekday,peak_pm,2109.06666666667
27,weekend,late_pm,40.3266666666667
27,weekend,early_am,4.73888888888889
27,weekend,peak_am,134.283333333333
27,weekend,mid,349.02
27,weekend,peak_pm,229.033333333333
28,weekday,late_pm,948.6
28,weekday,early_am,181
28,weekday,peak_am,1350.75
28,weekday,mid,1192.9
28,weekday,peak_pm,3780.5
28,weekend,late_pm,171.4
28,weekend,early_am,53.4166666666667
28,weekend,peak_am,483.25
28,weekend,mid,953.7
28,weekend,peak_pm,692.5
24,weekday,late_pm,315.3
24,weekday,early_am,496.416666666667
24,weekday,peak_am,3375.125
24,weekday,mid,1443.2
24,weekday,peak_pm,1618.625
24,weekend,late_pm,74.5
24,weekend,early_am,77.25
24,weekend,peak_am,1058.375
24,weekend,mid,976.8
24,weekend,peak_pm,401
40,weekday,late_pm,3317.2
40,weekday,early_am,581.666666666667
40,weekday,peak_am,6957.78333333333
40,weekday,mid,4256
40,weekday,peak_pm,
40,weekend,late_pm,421.8
40,weekend,early_am,121.166666666667
40,weekend,peak_am,656.625
40,weekend,mid,1387.1
40,weekend,peak_pm,1206.875
46,weekday,late_pm,1190.2
46,weekday,early_am,906.75
46,weekday,peak_am,4661.03333333333
46,weekday,mid,3689.2
46,weekday,peak_pm,4666.04285714286
46,weekend,late_pm,409
46,weekend,early_am,176.166666666667
46,weekend,peak_am,528.75
46,weekend,mid,894.3
46,weekend,peak_pm,722.875
41,weekday,late_pm,6315.08373015873
41,weekday,early_am,2890.52272727273
41,weekday,peak_am,
41,weekday,mid,
41,weekday,peak_pm,
41,weekend,late_pm,2303.6
41,weekend,early_am,1069.33333333333
41,weekend,peak_am,2681.375
41,weekend,mid,4566
41,weekend,peak_pm,4291
34,weekday,late_pm,3729.29021327829
34,weekday,early_am,1439.01388888889
34,weekday,peak_am,5622.01868686869
34,weekday,mid,5789.08625730994
