counterid,day_type,month,day_part,sfmta_count
60,weekday,January,late_pm,77.3
60,weekday,February,late_pm,102.2
60,weekday,March,late_pm,73.8
60,weekday,April,late_pm,101.9
60,weekday,May,late_pm,123
60,weekday,June,late_pm,135.4
60,weekday,July,late_pm,124.4
60,weekday,August,late_pm,136.4
60,weekday,September,late_pm,115
60,weekday,October,late_pm,113.7
60,weekday,November,late_pm,99.9
60,weekday,December,late_pm,67.8
60,weekday,January,early_am,23.5833333333333
60,weekday,February,early_am,28.8333333333333
60,weekday,March,early_am,23.25
60,weekday,April,early_am,30.6666666666667
60,weekday,May,early_am,40.3333333333333
60,weekday,June,early_am,42.5
60,weekday,July,early_am,39.8333333333333
60,weekday,August,early_am,52.5833333333333
60,weekday,September,early_am,46.5833333333333
60,weekday,October,early_am,48.8333333333333
60,weekday,November,early_am,38.9166666666667
60,weekday,December,early_am,25.8333333333333
60,weekday,January,peak_am,225.25
60,weekday,February,peak_am,266.875
60,weekday,March,peak_am,209.375
60,weekday,April,peak_am,278.625
60,weekday,May,peak_am,334.625
60,weekday,June,peak_am,347.375
60,weekday,July,peak_am,327
60,weekday,August,peak_am,353.375
60,weekday,September,peak_am,340
60,weekday,October,peak_am,342.5
60,weekday,November,peak_am,310.125
60,weekday,December,peak_am,189.375
60,weekday,January,mid,176.1
60,weekday,February,mid,211.7
60,weekday,March,mid,163.9
60,weekday,April,mid,248.7
60,weekday,May,mid,295.4
60,weekday,June,mid,291.6
60,weekday,July,mid,291.8
60,weekday,August,mid,324.6
60,weekday,September,mid,316.1
60,weekday,October,mid,303.7
60,weekday,November,mid,273.9
60,weekday,December,mid,176.3
60,weekday,January,peak_pm,573.333333333333
60,weekday,February,peak_pm,571.8
60,weekday,March,peak_pm,386.666666666667
60,weekday,April,peak_pm,712.166666666667
60,weekday,May,peak_pm,666.666666666667
60,weekday,June,peak_pm,752.25
60,weekday,July,peak_pm,705.25
60,weekday,August,peak_pm,580.5
60,weekday,September,peak_pm,641
60,weekday,October,peak_pm,634.666666666667
60,weekday,November,peak_pm,695.75
60,weekday,December,peak_pm,541.714285714286
60,weekend,January,late_pm,10.4
60,weekend,February,late_pm,8
60,weekend,March,late_pm,6
60,weekend,April,late_pm,12
60,weekend,May,late_pm,13.8
60,weekend,June,late_pm,12.3
60,weekend,July,late_pm,15.8
60,weekend,August,late_pm,11.8
60,weekend,September,late_pm,10.6
60,weekend,October,late_pm,13.5
60,weekend,November,late_pm,10.2
60,weekend,December,late_pm,7.7
60,weekend,January,early_am,2.83333333333333
60,weekend,February,early_am,2.41666666666667
60,weekend,March,early_am,1.16666666666667
60,weekend,April,early_am,4.5
60,weekend,May,early_am,2.91666666666667
60,weekend,June,early_am,4.16666666666667
60,weekend,July,early_am,4.16666666666667
60,weekend,August,early_am,4.25
60,weekend,September,early_am,5.25
60,weekend,October,early_am,3.91666666666667
60,weekend,November,early_am,2.58333333333333
60,weekend,December,early_am,3.16666666666667
60,weekend,January,peak_am,19.125
60,weekend,February,peak_am,17.375
60,weekend,March,peak_am,14.75
60,weekend,April,peak_am,28.375
60,weekend,May,peak_am,30.25
60,weekend,June,peak_am,31
60,weekend,July,peak_am,39
60,weekend,August,peak_am,30.125
60,weekend,September,peak_am,37.5
60,weekend,October,peak_am,36.5
60,weekend,November,peak_am,30.5
60,weekend,December,peak_am,19
60,weekend,January,mid,35.7
60,weekend,February,mid,35.8
60,weekend,March,mid,27
60,weekend,April,mid,49.9
60,weekend,May,mid,49.6
60,weekend,June,mid,53.5
60,weekend,July,mid,71.4
60,weekend,August,mid,67.3
60,weekend,September,mid,74
60,weekend,October,mid,63.7
